step,sigma_i,baseline_v_fwd,baseline_v_rev,baseline_gap,baseline_gap_std
0,1.0,564.4270973205566,564.5856323242188,0.15853500366210938,3.4647909317490866
1,0.9583333134651184,566.2282257080078,568.215747833252,1.9875221252441406,5.101412339083937
2,0.9166666865348816,571.8816413879395,570.6815376281738,-1.200103759765625,10.367445655596788
3,0.875,575.7169456481934,571.788402557373,-3.9285430908203125,9.863700080007408
4,0.8333333134651184,577.7478141784668,571.5703277587891,-6.177486419677734,10.467582981816495
5,0.7916666865348816,578.0513076782227,571.2620048522949,-6.789302825927734,10.014446454693497
6,0.75,578.822925567627,570.7384567260742,-8.084468841552734,10.43993412727101
7,0.7083333134651184,580.6557807922363,571.3447036743164,-9.311077117919922,11.015060592366131
8,0.6666666269302368,580.5238265991211,570.0702590942383,-10.453567504882812,10.84621467287519
9,0.625,581.4427490234375,569.981258392334,-11.461490631103516,10.631544263493499
10,0.5833333134651184,582.2021827697754,569.8028831481934,-12.399299621582031,10.094892510958532
11,0.5416666269302368,580.8714408874512,567.3932304382324,-13.47821044921875,10.91697610669991
12,0.5,581.8615798950195,567.4213256835938,-14.440254211425781,10.821036701503406
13,0.4583333432674408,580.6311416625977,565.3362998962402,-15.294841766357422,10.848505360993578
14,0.4166666865348816,580.9498863220215,564.1246223449707,-16.82526397705078,11.254264058377823
15,0.375,580.5883712768555,562.3139724731445,-18.274398803710938,11.416279661477736
16,0.3333333432674408,579.0598182678223,559.0554237365723,-20.00439453125,11.450016587292026
17,0.2916666865348816,578.3676071166992,555.7518920898438,-22.61571502685547,12.100845420772936
18,0.25,575.23486328125,550.2254333496094,-25.009429931640625,12.353770006052343
19,0.2083333432674408,572.9013595581055,543.9411220550537,-28.960237503051758,13.60964859105285
20,0.1666666716337204,566.8080978393555,533.253942489624,-33.554155349731445,14.621060999312899
21,0.125,558.3918991088867,517.569414138794,-40.82248497009277,17.250553712915448
22,0.0833333358168602,542.4186038970947,490.5032444000244,-51.91535949707031,21.85780037777067
23,0.0416666679084301,501.9678707122803,434.2278289794922,-67.74004173278809,30.690993925139214
